Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Jake Allen\allenja01,29,STL,20,17,8,6,3,43,549,506,0.922,2.36,1,3.8,1095,11,0.647,2,86,6.78,0,0,0,0
2,Frederik Andersen\anderfr01,30,TOR,44,44,24,11,6,123,1336,1213,0.908,2.93,1,7.3,2522,23,0.523,7,102,-1.86,0,0,0,0
3,Craig Anderson\andercr01,38,OTT,27,23,8,13,2,76,775,699,0.902,3.19,0,3.8,1429,10,0.435,5,108,-5.73,0,1,1,0
4,Jonathan Bernier\bernijo01,31,DET,36,32,12,17,2,96,1050,954,0.909,2.88,1,5.8,1997,13,0.406,5,101,-0.79,0,3,3,2
5,Antoine Bibeau\bibeaan01,25,COL,2,1,1,0,0,5,42,37,0.881,3.27,0,0.1,92,0,0,0,,,0,0,0,0
6,Jordan Binnington\binnijo01,26,STL,42,42,24,11,7,112,1228,1116,0.909,2.72,1,6.9,2468,23,0.548,4,101,-0.66,0,1,1,4
7,Ben Bishop\bishobe01,33,DAL,39,38,20,12,4,88,1154,1066,0.924,2.38,2,8.3,2216,25,0.658,4,84,16.64,0,2,2,2
8,MacKenzie Blackwood\blackma01,23,NJD,41,37,19,12,7,108,1243,1135,0.913,2.79,3,7.5,2323,19,0.514,6,96,4.7,0,1,1,0
9,Sergei Bobrovsky\bobrose01,31,FLA,45,43,21,17,5,138,1334,1196,0.897,3.31,1,5.7,2503,17,0.395,10,114,-17.04,0,0,0,0
10,Laurent Brossoit\brossla01,26,WPG,17,13,5,7,0,50,445,395,0.888,3.48,0,1.5,863,5,0.385,1,124,-9.65,0,0,0,0
11,Jack Campbell\campbja01,28,TOT,24,24,11,10,3,67,696,629,0.904,2.77,0,3.5,1452,10,0.417,4,106,-3.89,0,0,0,0
11,Jack Campbell\campbja01,28,LAK,20,20,8,10,2,57,572,515,0.9,2.85,0,2.7,1202,7,0.35,4,110,-5.14,0,0,0,0
11,Jack Campbell\campbja01,28,TOR,4,4,3,0,1,10,124,114,0.919,2.4,0,0.8,250,3,0.75,0,,,0,0,0,0
12,Eric Comrie\comrier01,24,DET,3,2,0,2,0,9,66,57,0.864,4.28,0,0.1,126,0,0,1,,,0,0,0,0
13,Corey Crawford\crawfco01,35,CHI,30,29,10,16,3,84,953,869,0.912,2.89,1,5.6,1743,17,0.586,2,97,2.41,0,0,0,0
14,Oscar Dansk\danskos01,25,VEG,1,1,0,1,0,6,37,31,0.838,6,0,-0.1,60,0,0,1,,,0,0,0,0
15,Aaron Dell\dellaa01,30,SJS,29,26,12,12,2,77,843,766,0.909,2.89,0,4.7,1597,14,0.538,5,101,-0.56,0,0,0,0
16,Thatcher Demko\demkoth01,24,VAN,19,18,10,6,2,56,587,531,0.905,3.04,0,3,1106,12,0.667,4,105,-2.78,0,0,0,0
17,Michael Dipietro\dipiemi01,20,VAN,1,0,0,0,0,1,7,6,0.857,7.16,0,0,8,0,,0,,,0,0,0,0
18,Louis Domingue\dominlo01,27,NJD,15,13,3,7,2,44,360,316,0.878,3.86,0,0.8,684,3,0.231,5,135,-11.36,0,0,0,0
19,Chris Driedger\driedch01,25,FLA,9,8,5,2,0,18,265,247,0.932,2.35,1,2.1,459,5,0.625,0,75,6.03,0,0,0,0
20,Devan Dubnyk\dubnyde01,33,MIN,27,25,10,14,2,82,763,681,0.893,3.33,1,2.9,1476,8,0.32,3,119,-12.82,0,0,0,2
21,Brian Elliott\elliobr01,34,PHI,29,25,14,7,4,75,738,663,0.898,2.9,2,3.3,1550,13,0.52,8,112,-8.08,0,1,1,2
22,Marc-Andre Fleury\fleurma01,35,VEG,43,42,23,14,5,117,1243,1126,0.906,2.78,4,6.5,2521,21,0.5,7,104,-4.3,0,0,0,6
23,Pavel Francouz\francpa01,29,COL,23,19,13,5,3,52,663,611,0.922,2.51,0,4.6,1244,9,0.474,4,87,8.12,0,0,0,2
24,Alexandar Georgiev\georgal01,23,NYR,28,26,14,12,1,76,861,785,0.912,2.98,2,5.1,1530,15,0.577,5,97,2.07,0,0,0,0
25,John Gibson\gibsojo02,26,ANA,43,43,17,22,4,126,1318,1192,0.904,2.99,1,6.7,2529,18,0.419,8,105,-6.49,0,0,0,0
26,Thomas Greiss\greisth01,34,NYI,28,25,16,8,2,64,766,702,0.916,2.65,0,4.9,1451,15,0.6,4,92,5.45,0,0,0,2
