Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
1,Justin Abdelkader\abdelju01,32,DET,LW,43,0,3,3,-10,25,-0.7,0,0,0,0,3,0,0,38,0,505,11:44,24,93,36,31,53.7
2,Pontus Aberg\abergpo01,26,TOR,LW,5,0,1,1,0,0,0,0,0,0,0,1,0,0,4,0,44,08:42,1,1,0,0,
3,Vitaly Abramov\abramvi01,21,OTT,RW,2,1,0,1,0,2,0.2,1,0,0,0,0,0,0,3,33.3,12,05:47,0,0,0,0,
4,Noel Acciari\acciano01,28,FLA,C,56,19,5,24,-2,17,2.6,18,0,1,5,5,0,0,84,22.6,884,15:47,87,106,317,334,48.7
5,Andrew Agozzino\agozzan01,29,PIT,LW,13,0,2,2,0,4,0.1,0,0,0,0,2,0,0,6,0,82,06:16,5,15,22,21,51.2
6,Sebastian Aho\ahose01,22,CAR,F,58,33,23,56,12,20,7.4,24,6,3,5,16,6,1,174,19,1122,19:20,14,42,342,400,46.1
7,Michael Amadio\amadimi01,23,LAK,C,57,6,10,16,-8,8,0.8,6,0,0,0,7,3,0,89,6.7,759,13:19,18,18,209,218,48.9
8,Joey Anderson\anderjo08,21,NJD,RW,7,2,2,4,1,2,0.5,2,0,0,0,2,0,0,8,25,76,10:49,1,6,1,0,100
9,Josh Anderson\anderjo05,25,CBJ,RW,26,1,3,4,-8,17,-0.4,1,0,0,0,3,0,0,63,1.6,418,16:04,13,68,7,12,36.8
10,Jaret Anderson-Dolan\anderja01,20,LAK,C,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0,41,10:16,0,3,5,8,38.5
11,Lias Andersson\anderli01,21,NYR,C,17,0,1,1,-8,4,-0.5,0,0,0,0,1,0,0,13,0,162,09:33,8,20,41,47,46.6
12,Rasmus Andersson\anderra01,23,CGY,D,61,4,14,18,-15,55,2.5,4,0,0,0,10,4,0,112,3.6,1191,19:31,65,43,0,0,
13,Andy Andreoff\andrean01,28,PHI,LW,14,0,1,1,-3,2,-0.2,0,0,0,0,1,0,0,14,0,119,08:32,4,20,4,4,50
14,Anthony Angello\angelan01,23,PIT,C,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0,20,04:56,2,4,0,0,
15,Artem Anisimov\anisiar01,31,OTT,C,41,11,4,15,-14,6,1.2,8,3,0,1,4,0,0,64,17.2,560,13:39,21,4,157,156,50.2
16,Mason Appleton\applema01,24,WPG,C,35,4,3,7,-9,10,0.1,3,0,1,0,3,0,0,40,10,390,11:09,10,17,4,6,40
17,Josh Archibald\archijo01,27,EDM,RW,50,9,7,16,-5,10,1.4,7,0,2,3,6,0,1,54,16.7,653,13:03,34,138,0,2,0
18,Joel Armia\armiajo01,26,MTL,RW,48,15,13,28,9,22,3.4,10,3,2,2,12,1,0,139,10.8,836,17:25,23,130,1,4,20
19,Viktor Arvidsson\arvidvi01,26,NSH,LW,46,13,10,23,-2,18,2.1,10,3,0,0,8,2,0,101,12.9,762,16:34,20,24,11,7,61.1
20,Rasmus Asplund\asplura01,22,BUF,F,29,1,2,3,-4,6,-0.3,1,0,0,0,1,0,1,36,2.8,314,10:50,7,20,49,65,43
21,Zach Aston-Reese\astonza01,25,PIT,C,57,6,7,13,6,28,0.7,5,0,1,0,7,0,0,98,6.1,822,14:26,30,136,7,16,30.4
22,Andreas Athanasiou\athanan01,25,DET,C,44,8,14,22,-44,26,0.4,5,3,0,1,10,4,0,108,7.4,731,16:37,20,28,42,58,42
23,Cam Atkinson\atkinca01,30,CBJ,RW,44,12,14,26,2,6,2.9,9,3,0,2,9,5,0,148,8.1,785,17:51,21,18,27,30,47.4
24,Nicolas Aube-Kubel\aubekni01,23,PHI,RW,26,4,4,8,-4,17,0.6,3,1,0,1,4,0,0,32,12.5,285,10:58,11,61,1,2,33.3
25,David Backes\backeda01,35,BOS,C,16,1,2,3,-2,16,0.1,0,1,0,1,2,0,0,26,3.8,137,08:33,4,22,7,10,41.2
26,Mikael Backlund\backlmi01,30,CGY,C,61,10,22,32,0,26,2.6,4,3,3,2,16,6,0,129,7.8,1089,17:51,10,34,302,336,47.3
27,Nicklas Backstrom\backsni02,32,WSH,C,51,11,34,45,-2,12,3.9,9,2,0,0,20,14,0,116,9.5,984,19:18,35,26,445,447,49.9
28,Sven Baertschi\baertsv01,27,VAN,LW,6,0,2,2,-2,4,0,0,0,0,0,0,2,0,7,0,71,11:49,0,5,0,0,
29,Josh Bailey\bailejo01,30,NYI,C,58,12,25,37,-14,10,2.9,9,2,1,2,18,7,0,77,15.6,986,17:00,42,18,113,102,52.6
30,Justin Bailey\baileju01,24,VAN,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,05:20,0,4,0,0,
31,Rudolfs Balcers\balceru01,22,OTT,LW,7,0,1,1,0,0,0,0,0,0,0,1,0,0,8,0,72,10:15,2,10,0,2,0
32,Ivan Barbashev\barbaiv01,24,STL,C,57,7,15,22,1,17,1.7,6,0,1,1,14,0,1,62,11.3,758,13:18,28,123,120,139,46.3
33,Riley Barber\barberi01,25,MTL,RW,9,0,0,0,-1,2,-0.2,0,0,0,0,0,0,0,6,0,74,08:15,1,15,1,0,100
34,Mark Barberio\barbema01,29,COL,D,14,0,2,2,7,12,0.8,0,0,0,0,2,0,0,21,0,222,15:52,15,11,0,0,
35,Cole Bardreau\bardrco01,26,NYI,F,10,1,1,2,-2,6,0.1,1,0,0,1,1,0,0,10,10,89,08:52,1,21,21,29,42
36,Aleksander Barkov\barkoal01,24,FLA,C,56,17,40,57,6,16,5.5,10,7,0,2,28,11,1,148,11.5,1115,19:55,28,14,552,471,54
37,Tyson Barrie\barrity01,28,TOR,D,60,5,28,33,-6,16,3.7,4,1,0,0,19,9,0,150,3.3,1306,21:46,68,39,0,0,
38,Mathew Barzal\barzama01,22,NYI,C,58,18,30,48,4,34,5,14,4,0,2,25,5,0,139,12.9,1143,19:43,37,17,190,269,41.4
39,Drake Batherson\bathedr01,21,OTT,C,20,2,6,8,-9,8,0.2,1,1,0,0,2,4,0,29,6.9,315,15:46,10,42,4,1,80
40,Jay Beagle\beaglja01,34,VAN,RW,50,1,4,5,-9,38,-0.8,0,0,1,1,3,0,1,42,2.4,629,12:35,39,60,361,245,59.6
41,Ethan Bear\bearet01,22,EDM,D,59,5,13,18,0,27,3.7,4,1,0,1,13,0,0,82,6.1,1267,21:28,82,50,0,0,
42,J.C. Beaudin\beaudje01,22,OTT,C,22,0,1,1,-4,7,-0.4,0,0,0,0,1,0,0,18,0,190,08:38,11,51,62,56,52.5
43,Nathan Beaulieu\beaulna01,27,WPG,D,27,1,5,6,10,27,1.8,1,0,0,1,5,0,0,21,4.8,429,15:53,27,47,0,0,
44,Anthony Beauvillier\beauvan01,22,NYI,LW,58,18,19,37,-3,10,3.9,14,3,1,3,15,4,0,111,16.2,998,17:13,34,74,8,2,80
45,Pierre-Edouard Bellemare\bellepi01,34,COL,LW,57,8,12,20,6,10,1.6,6,0,2,0,10,0,2,66,12.1,753,13:12,34,36,333,302,52.4
46,Kieffer Bellows\belloki01,21,NYI,LW,6,2,1,3,3,0,0.5,2,0,0,1,1,0,0,8,25,64,10:41,4,9,0,0,
47,Emil Bemstrom\bemstem01,20,CBJ,C,46,5,9,14,1,4,1.2,2,3,0,2,7,2,0,77,6.5,543,11:48,14,43,4,8,33.3
48,Jamie Benn\bennja01,30,DAL,LW,59,18,14,32,-6,33,3.5,11,7,0,4,9,5,0,142,12.7,978,16:35,51,149,224,170,56.9
49,Jordie Benn\bennjo01,32,VAN,D,42,1,6,7,-6,17,1,1,0,0,1,6,0,0,55,1.8,689,16:25,61,40,0,0,
50,Sam Bennett\bennesa01,23,CGY,C,43,8,4,12,1,32,1.3,8,0,0,0,3,1,0,70,11.4,548,12:45,12,90,73,70,51
51,Matt Benning\bennima01,25,EDM,D,34,1,6,7,9,15,2,1,0,0,0,6,0,0,28,3.6,459,13:29,28,65,0,0,
52,Tyler Benson\bensoty01,21,EDM,LW,4,0,1,1,2,0,0.1,0,0,0,0,1,0,0,4,0,40,10:04,1,1,1,0,100
