"Teams","AvAge","GP","W","L","OL","PTS","PTS.","GF","GA","SOW","SOL","SRS","SOS","TGpG","EVGF","EVGA","PP","PPO","PP.","PPA","PPOA","PK.","SH","SHA","PIMpG","oPIMpG","S","S..x","SA","SV..x","SO","S..y","SV..y","PDO","CF","CA","CF.","FF","FA","FF.","xGF","xGA","aGF","aGA","axDiff","SCF","SCA","SCF.","HDF","HDA","HDF.","HDGF","HDC.","HDGA","HDCO."
"Boston Bruins","29.1","61","38","11","12","88",".721","201","140","0","7","0.85","-0.04","5.59","146","105","51","204","25.00","30","189","84.13","4","5","9.2","10.2","1971","10.2","1842",".924","6","9.6",".924","102.0","2144","2043","51.2","1620","1525","51.5","118.8","108.8","124","88","+26","1057","980","51.9","161","161","50.0","32","16.6","18","10.1"
"Tampa Bay Lightning","27.7","61","40","16","5","85",".697","216","164","2","0","0.90","0.02","6.23","169","124","44","185","23.78","33","196","83.16","3","7","9.5","9.4","1907","11.3","1884",".913","3","10.6",".917","102.3","2285","2059","52.6","1685","1552","52.1","132.5","117.9","142","104","+23","1187","1024","53.7","179","120","59.9","33","15.6","15","11.1"
"Pittsburgh Penguins","27.4","59","37","16","6","80",".678","193","158","3","0","0.67","0.02","5.95","150","127","37","170","21.76","28","161","82.61","6","3","7.4","7.9","1872","10.3","1785",".911","4","9.5",".913","100.8","2191","2083","51.3","1659","1538","51.9","127.9","117.3","131","110","+10","1041","999","51.0","161","159","50.3","38","19.1","22","12.2"
"Washington Capitals","28.9","60","37","17","6","80",".667","208","182","3","2","0.50","0.05","6.50","163","140","40","194","20.62","33","206","83.98","5","9","9.8","9.5","1923","10.8","1793",".898","1","10.3",".903","100.6","2268","2136","51.5","1656","1588","51.0","123.9","121.6","134","123","+9","1133","1037","52.2","196","181","52.0","33","14.4","26","12.6"
"St. Louis Blues","28.4","61","34","17","10","78",".639","190","169","1","3","0.34","0.03","5.89","143","127","43","180","23.89","36","178","79.78","4","6","7.2","7.5","1887","10.1","1822",".907","4","9.7",".916","101.3","2103","2042","50.7","1599","1553","50.7","126.9","121.9","128","104","+19","1119","1116","50.1","150","183","45.0","28","15.7","26","12.4"
"Dallas Stars","29.3","60","35","19","6","76",".633","162","151","2","2","0.20","0.01","5.22","119","111","38","175","21.71","36","189","80.95","5","4","8.0","7.3","1834","8.8","1915",".921","2","8.0",".924","100.4","2182","2247","49.3","1563","1609","49.3","124.7","123.7","99","96","+2","1123","1088","50.8","182","161","53.1","26","12.5","26","13.9"
"Colorado Avalanche","26.7","59","34","18","7","75",".636","209","164","0","1","0.78","0.04","6.32","162","121","39","205","19.02","37","179","79.33","8","6","8.8","10.4","1932","10.8","1869",".912","3","10.5",".921","102.7","2253","2132","51.4","1636","1534","51.6","125.1","116.8","144","97","+39","1093","1030","51.5","140","125","52.8","22","13.6","12","8.8"
"Philadelphia Flyers","27.2","61","34","20","7","75",".615","197","176","5","5","0.35","0.01","6.11","149","137","41","200","20.50","33","184","82.07","7","6","7.5","8.9","1922","10.2","1742",".899","3","10.0",".897","99.7","2135","2031","51.2","1568","1506","51.0","122.1","114.4","128","125","-5","1064","998","51.6","179","149","54.6","40","18.3","25","14.4"
"Columbus Blue Jackets","26.1","62","30","19","13","73",".589","159","156","0","3","-0.01","-0.01","5.08","128","123","28","174","16.09","28","155","81.94","3","5","6.8","6.9","2007","7.9","1830",".915","7","8.0",".920","100.0","2229","2316","49.0","1682","1632","50.8","128.2","111.3","110","101","-8","1088","1059","50.7","139","151","47.9","24","14.7","20","11.7"
"Carolina Hurricanes","26.6","59","34","21","4","72",".610","188","164","5","0","0.46","-0.03","5.97","141","124","38","176","21.59","36","209","82.78","9","4","8.2","8.0","1938","9.7","1732",".905","6","9.0",".908","99.8","2366","1956","54.7","1740","1493","53.8","127.0","117.3","123","111","+2","1167","996","54.0","202","166","54.9","31","13.3","27","14.0"
"New York Islanders","28.7","59","33","20","6","72",".610","165","160","3","2","0.17","0.07","5.51","135","128","24","135","17.78","30","157","80.89","6","2","8.7","7.6","1726","9.6","1863",".914","3","9.0",".916","100.7","2167","2483","46.6","1549","1755","46.9","129.1","131.5","113","112","+3","1105","1163","48.7","201","204","49.6","35","14.8","29","12.4"
"Toronto Maple Leafs","26.8","62","32","22","8","72",".581","216","200","1","4","0.20","-0.01","6.71","170","153","41","168","24.40","40","172","76.74","5","7","6.7","6.5","2064","10.5","1974",".899","3","9.7",".901","99.9","2560","2312","52.5","1875","1755","51.7","144.8","137.5","143","137","-1","1303","1218","51.7","210","200","51.2","35","14.3","31","13.4"
"Vegas Golden Knights","29.2","62","32","22","8","72",".581","194","186","3","2","0.14","-0.01","6.13","147","139","38","176","21.59","44","197","77.66","9","3","8.5","7.8","2138","9.1","1840",".899","4","9.0",".897","98.7","2493","2070","54.6","1848","1534","54.6","153.7","116.7","131","129","-35","1302","1007","56.4","201","165","54.9","31","13.4","26","13.6"
"Edmonton Oilers","28.0","60","32","21","7","71",".592","189","183","2","2","0.07","-0.04","6.20","134","147","52","179","29.05","26","171","84.80","3","10","8.7","8.2","1788","10.6","1894",".903","2","9.4",".899","99.3","2109","2273","48.1","1587","1645","49.1","116.6","121.1","118","133","-11","1055","1113","48.7","148","163","47.6","22","12.9","30","15.5"
"Florida Panthers","28.2","61","32","23","6","70",".574","211","204","3","3","0.13","0.01","6.80","165","162","42","191","21.99","38","170","77.65","4","4","7.4","8.8","1988","10.6","1975",".897","2","10.4",".899","100.3","2246","2282","49.6","1663","1700","49.4","123.6","132.1","144","140","+13","1061","1072","49.7","144","206","41.1","22","13.3","33","13.8"
