Teams,AvAge,GP,W,L,OL,PTS,PTS.,GF,GA,SOW,SOL,SRS,SOS,TGpG,EVGF,EVGA,PP,PPO,PP.,PPA,PPOA,PK.,SH,SHA,PIMpG,oPIMpG,S,S.,SA,SV.,SO,EVS.,EVSV.,EVPDO,EVCF,EVCA,EVCF.,EVFF,EVFA,EVFF.,EVxGF,EVxGA,EVaGF,EVaGA,EVaxDiff,EVSCF,EVSCA,EVSCF.,EVHDF,EVHDA,EVHDF.,EVHDGF,EVHDC.,EVHDGA,EVHDCO.,Year
Boston Bruins*,27.6,82,54,19,9,117,0.713,258,171,3,6,0.92,-0.11,5.23,199,122,50,230,21.74,43,263,83.65,9,6,10.8,10.1,2612,9.9,2385,0.928,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Anaheim Ducks*,27.7,82,54,20,8,116,0.707,263,203,3,6,0.68,-0.01,5.68,209,147,44,275,16,48,270,82.22,10,8,10.9,12.6,2569,10.2,2353,0.914,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Colorado Avalanche*,26.9,82,52,22,8,112,0.683,245,216,5,4,0.4,0.04,5.62,192,167,50,252,19.84,48,249,80.72,3,1,10.9,10.5,2420,10.1,2678,0.919,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
St. Louis Blues*,27.4,82,52,23,7,111,0.677,239,188,9,3,0.71,0.01,5.21,177,140,56,283,19.79,42,293,85.67,6,6,14.2,14.2,2402,10,2163,0.913,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
San Jose Sharks*,28.7,82,51,22,9,111,0.677,239,193,10,7,0.6,0,5.27,181,154,50,291,17.18,33,219,84.93,8,6,9,11.2,2851,8.4,2281,0.915,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Pittsburgh Penguins*,28.3,82,51,24,7,109,0.665,242,204,7,3,0.47,-0.04,5.44,173,160,65,278,23.38,38,254,85.04,4,6,10.1,10.9,2454,9.9,2358,0.913,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Chicago Blackhawks*,27.5,82,46,21,15,107,0.652,261,212,6,8,0.6,0.02,5.77,202,160,50,257,19.46,46,248,81.45,9,6,8.5,8.7,2715,9.6,2229,0.905,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Tampa Bay Lightning*,27.1,82,46,27,9,101,0.616,232,209,8,6,0.25,-0.06,5.38,172,149,50,270,18.52,52,270,80.74,10,8,10.3,10.2,2446,9.5,2397,0.913,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Los Angeles Kings*,27.4,82,46,28,8,100,0.61,198,168,8,6,0.4,0.01,4.46,150,112,43,284,15.14,50,296,83.11,5,6,10.7,11.1,2595,7.6,2148,0.922,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Montreal Canadiens*,28.3,82,46,28,8,100,0.61,209,201,6,3,0.08,-0.05,5,155,150,48,279,17.2,43,289,85.12,6,8,13,12.8,2330,9,2541,0.921,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Minnesota Wild*,27.2,82,43,27,12,98,0.598,199,198,8,8,0.07,0.05,4.84,150,137,45,252,17.86,53,250,78.8,4,8,9.5,9.9,2180,9.1,2273,0.913,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
New York Rangers*,27.4,82,45,31,6,96,0.585,214,190,4,3,0.26,-0.04,4.93,156,149,48,264,18.18,34,232,85.34,10,7,10,10.4,2719,7.9,2412,0.921,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Philadelphia Flyers*,27.7,82,42,30,10,94,0.573,233,227,3,8,-0.01,-0.02,5.61,167,168,58,294,19.73,48,316,84.81,8,11,14.2,13.4,2490,9.4,2508,0.909,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Columbus Blue Jackets*,26.1,82,43,32,7,93,0.567,226,214,5,2,0.16,-0.03,5.37,163,156,54,280,19.29,50,280,82.14,9,8,11.1,11,2431,9.3,2524,0.915,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Detroit Red Wings*,28.6,82,39,28,15,93,0.567,217,221,5,9,-0.14,-0.04,5.34,164,166,50,282,17.73,50,295,83.05,3,5,8.8,8.6,2456,8.8,2400,0.908,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Dallas Stars*,28.2,82,40,31,11,91,0.555,231,223,4,5,0.14,0.05,5.54,177,169,46,290,15.86,49,263,81.37,8,5,11,11.6,2597,8.9,2492,0.911,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Washington Capitals,26.5,82,38,30,14,90,0.549,225,229,10,11,-0.08,-0.02,5.54,152,168,68,291,23.37,51,284,82.04,5,10,11.6,12.2,2412,9.3,2750,0.917,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Phoenix Coyotes,28.7,82,37,30,15,89,0.543,210,224,6,7,-0.16,0.03,5.29,151,162,56,282,19.86,57,272,79.04,3,5,9.9,9.9,2498,8.4,2540,0.912,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Ottawa Senators,26.6,82,37,31,14,88,0.537,229,258,7,7,-0.37,-0.02,5.94,174,186,50,271,18.45,61,320,80.94,5,10,13.3,12,2691,8.5,2849,0.909,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Nashville Predators,26.7,82,38,32,12,88,0.537,214,233,2,9,-0.25,0.07,5.45,166,186,46,239,19.25,47,238,80.25,2,0,9.9,9.4,2382,9,2370,0.902,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
New Jersey Devils,30.6,82,35,29,18,88,0.537,197,195,0,13,-0.15,-0.02,4.78,141,155,47,241,19.5,36,264,86.36,9,4,8,8.2,2199,9,2089,0.907,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Toronto Maple Leafs,26.2,82,38,36,8,84,0.512,222,252,9,4,-0.34,-0.04,5.78,165,182,50,252,19.84,58,268,78.36,7,12,12.7,11.8,2290,9.7,2945,0.914,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Winnipeg Jets,26.3,82,37,35,10,84,0.512,219,231,8,6,-0.07,0.06,5.49,174,176,40,259,15.44,49,291,83.16,5,6,11.9,10.6,2516,8.7,2472,0.907,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Carolina Hurricanes,27,82,36,35,11,83,0.506,205,226,2,4,-0.29,-0.01,5.26,153,174,41,281,14.59,44,241,81.74,11,8,7.9,9,2561,8,2537,0.911,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Vancouver Canucks,28.6,82,36,35,11,83,0.506,191,216,5,7,-0.3,0.03,4.96,146,166,39,257,15.18,46,274,83.21,6,4,13.6,12.1,2527,7.6,2327,0.907,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
