Rk,Teams,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,S%,SV%,PDO,CF,CA,CF%,FF,FA,FF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
1,Tampa Bay Lightning*,27.1,82,62,16,4,128,0.78,319,221,6,1,1.21,-0.05,6.59,233,178,74,262,28.24,40,267,85.02,12,3,9.5,9.4,2620,12.2,2633,0.916,6,8.9,0.927,101.7,3826,3595,51.6,2882,2733,51.3,194.7,176.9,206,157,31,1769,1687,51.2,412,332,55.4,77,15.7,65,16.4
2,Boston Bruins*,28.7,82,49,24,9,107,0.652,257,212,2,3,0.52,-0.01,5.72,185,148,65,251,25.9,49,244,79.92,7,15,9.7,9.9,2680,9.6,2416,0.912,9,6.9,0.935,100.4,3872,3421,53.1,2955,2553,53.6,175.5,167.3,157,128,21,1638,1517,51.9,336,350,49,60,15.2,52,12.9
3,Calgary Flames*,27.7,82,50,25,7,107,0.652,289,223,0,4,0.7,-0.06,6.24,218,166,53,275,19.27,50,246,79.67,18,7,8.5,9.8,2656,10.9,2302,0.903,3,8.4,0.924,100.8,3953,3386,53.9,2903,2560,53.1,192,161.9,188,149,9,1778,1550,53.4,384,351,52.2,79,17.1,51,12.7
4,Washington Capitals*,28.8,82,48,26,8,104,0.634,274,248,4,1,0.35,-0.01,6.37,220,188,49,236,20.76,55,261,78.93,5,5,8.9,8.6,2492,11,2584,0.904,4,9.2,0.927,101.8,3715,3860,49,2768,2884,49,167.5,185.2,197,161,54,1644,1758,48.3,333,408,44.9,52,13.5,58,12.4
5,New York Islanders*,28.4,82,48,27,7,103,0.628,223,191,5,5,0.38,-0.01,5.05,184,146,33,227,14.54,44,219,79.91,6,1,7.9,7.7,2360,9.4,2534,0.925,11,7.9,0.94,101.9,3548,3867,47.8,2616,2803,48.3,187.7,180.5,162,128,27,1683,1722,49.4,404,370,52.2,83,17,63,14.5
6,San Jose Sharks*,29.4,82,46,27,9,101,0.616,289,258,0,3,0.3,-0.04,6.67,223,204,57,241,23.65,45,234,80.77,9,9,9.1,9.4,2708,10.7,2323,0.889,5,8.3,0.906,98.9,4138,3404,54.9,3021,2515,54.6,197.4,173.2,193,186,-17,1812,1568,53.6,449,340,56.9,72,13.8,63,15.6
7,Toronto Maple Leafs*,27.5,82,46,28,8,100,0.61,286,249,0,2,0.42,-0.01,6.52,235,199,46,211,21.8,41,204,79.9,5,9,6.1,6.7,2736,10.5,2717,0.908,3,8.6,0.929,101.6,4396,4105,51.7,3184,3183,50,211.5,194.9,206,171,18,2027,1855,52.2,419,379,52.5,60,12.5,60,13.7
8,Nashville Predators*,28.9,82,47,29,6,100,0.61,236,212,4,2,0.31,-0.01,5.46,195,159,33,255,12.94,45,251,82.07,8,8,8.4,9.4,2677,8.8,2460,0.914,7,7.2,0.932,100.4,3904,3571,52.2,2952,2683,52.4,179.9,176.1,165,143,18,1674,1623,50.8,352,370,48.8,57,13.9,50,11.9
9,Pittsburgh Penguins*,28.4,82,44,26,12,100,0.61,271,238,2,3,0.38,-0.01,6.21,203,178,56,228,24.56,45,222,79.73,12,15,8.4,8,2731,9.9,2729,0.913,7,7.6,0.935,101.2,3919,3964,49.7,2957,2943,50.1,196.8,179.2,182,150,14,1812,1666,52.1,420,361,53.8,61,12.7,43,10.6
10,St. Louis Blues*,28,82,45,28,9,99,0.604,244,220,3,3,0.28,-0.01,5.66,189,170,50,237,21.1,43,232,81.47,5,7,7.6,8.2,2604,9.4,2345,0.906,9,7.5,0.927,100.2,3718,3501,51.5,2786,2571,52,196.5,165.8,167,147,-11,1759,1608,52.2,385,305,55.8,59,13.3,59,16.2
11,Winnipeg Jets*,26.6,82,47,30,5,99,0.604,270,243,2,1,0.33,-0.02,6.26,198,184,62,250,24.8,52,250,79.2,10,7,9.3,8.7,2557,10.6,2741,0.911,3,7.8,0.929,100.6,3693,3853,48.9,2761,2900,48.8,168.2,178.7,168,163,16,1528,1675,47.7,337,386,46.6,66,16.4,69,15.2
12,Carolina Hurricanes*,26.8,82,46,29,7,99,0.604,243,221,2,2,0.26,-0.01,5.66,191,169,44,247,17.81,44,239,81.59,8,8,7.5,8.7,2822,8.6,2343,0.906,6,6.7,0.927,99.4,4276,3528,54.8,3217,2656,54.8,199.2,157.3,161,148,-29,1914,1557,55.1,481,359,57.3,60,11.1,56,13.5
