"Teams","AvAge","GP","W","L","OL","PTS","PTS.","GF","GA","SOW","SOL","SRS","SOS","TGpG","EVGF","EVGA","PP","PPO","PP.","PPA","PPOA","PK.","SH","SHA","PIMpG","oPIMpG","S","S.","SA","SV.","SO","EVS.","EVSV.","EVPDO","EVCF","EVCA","EVCF.","EVFF","EVFA","EVFF.","EVxGF","EVxGA","EVaGF","EVaGA","EVaxDiff","EVSCF","EVSCA","EVSCF.","EVHDF","EVHDA","EVHDF.","EVHDGF","EVHDC.","EVHDGA","EVHDCO.","Year"
"Boston Bruins","29.1","69","43","14","12","98",".710","225","167","0","7","0.72","-0.02","5.68","164","126","56","223","25.11","34","212","83.96","5","7","9.8","10.6","2218","10.1","2067",".919","7","9.6",".920","101.6","2427","2329","51.0","1826","1722","51.5","132.9","122.9","140","106","+24","1203","1124","51.7","173","184","48.5","38","18.0","22","10.7",2020
"Tampa Bay Lightning","27.7","68","43","20","5","91",".669","238","188","2","0","0.78","0.02","6.26","184","141","48","204","23.53","40","223","82.06","6","7","10.4","9.9","2106","11.3","2101",".911","4","10.5",".916","102.1","2530","2304","52.3","1863","1734","51.8","143.5","133.0","156","119","+27","1296","1142","53.2","198","129","60.6","36","15.4","20","13.4",2020
"St. Louis Blues","28.4","68","40","18","10","90",".662","216","186","2","3","0.45","0.03","5.91","163","139","48","196","24.49","41","197","79.19","5","6","7.1","7.4","2089","10.3","2010",".907","4","10.0",".916","101.6","2334","2255","50.9","1765","1711","50.8","140.0","135.1","146","114","+27","1241","1237","50.1","159","199","44.4","29","15.4","27","11.9",2020
"Philadelphia Flyers","27.2","68","41","20","7","89",".654","227","189","5","5","0.55","-0.01","6.12","172","146","47","223","21.08","37","206","82.04","8","6","7.6","9.0","2130","10.7","1948",".903","3","10.5",".901","100.6","2368","2292","50.8","1753","1691","50.9","137.4","127.3","151","133","+8","1186","1117","51.5","202","166","54.9","44","17.9","27","14.0",2020
"Washington Capitals","29.0","68","41","20","7","89",".654","234","210","4","2","0.43","0.05","6.53","186","160","42","215","19.53","41","238","82.77","6","9","10.2","9.6","2171","10.8","2058",".898","1","10.4",".904","100.7","2557","2446","51.1","1873","1818","50.7","141.3","138.4","153","140","+10","1287","1175","52.3","225","210","51.7","42","15.7","33","13.6",2020
"Colorado Avalanche","26.8","67","40","19","8","88",".657","228","182","1","1","0.68","-0.01","6.12","177","139","43","231","18.61","37","200","81.50","8","6","8.6","10.2","2183","10.4","2101",".913","4","10.3",".919","102.2","2579","2429","51.5","1869","1757","51.5","141.6","129.4","158","112","+34","1261","1158","52.1","162","150","51.9","26","13.8","17","10.2",2020
"Pittsburgh Penguins","27.6","67","39","22","6","84",".627","214","188","3","0","0.42","-0.02","6.00","167","151","41","200","20.50","32","183","82.51","6","5","7.5","8.1","2141","10.0","1993",".906","4","9.4",".907","100.1","2495","2334","51.7","1890","1721","52.3","145.9","134.9","147","132","+4","1197","1135","51.3","197","188","51.2","48","19.6","34","15.3",2020
"Dallas Stars","29.4","68","37","23","8","82",".603","176","170","2","3","0.12","0.05","5.09","130","122","41","196","20.92","44","215","79.53","5","4","8.2","7.3","2080","8.5","2150",".921","2","7.7",".925","100.2","2473","2516","49.6","1782","1819","49.5","140.9","135.5","108","107","-4","1285","1211","51.5","206","175","54.1","29","12.3","27","13.4",2020
"Edmonton Oilers","28.0","69","37","24","8","82",".594","219","208","2","2","0.13","-0.03","6.19","157","168","59","199","29.65","30","197","84.77","3","10","8.3","7.8","2038","10.7","2201",".905","2","9.6",".900","99.7","2440","2638","48.1","1820","1921","48.7","136.9","143.3","139","153","-8","1212","1308","48.1","173","191","47.5","26","13.1","33","14.7",2020
"Vegas Golden Knights","29.2","69","37","24","8","82",".594","216","204","3","2","0.17","-0.02","6.09","167","152","40","188","21.28","49","213","77.00","9","3","8.2","7.4","2370","9.1","2036",".900","6","9.0",".900","98.9","2839","2320","55.0","2099","1713","55.1","173.1","129.3","147","140","-37","1481","1139","56.5","237","179","57.0","35","12.9","26","12.7",2020
