Teams,Team,Div,Conf,City
Anaheim Ducks,ANA,PACIFIC,WESTERN,Anaheim; California
Arizona Coyotes,ARI,PACIFIC,WESTERN,Glendale; Arizona
Boston Bruins,BOS,ATLANTIC,EASTERN,Boston; Massachusetts
Buffalo Sabres,BUF,ATLANTIC,EASTERN,Buffalo; New York
Calgary Flames,CGY,PACIFIC,WESTERN,Calgary; Alberta
Carolina Hurricanes,CAR,METROPOLITAN,EASTERN,Raleigh; North Carolina
Chicago Blackhawks,CHI,CENTRAL,WESTERN,Chicago; Illinois
Colorado Avalanche,COL,CENTRAL,WESTERN,Denver; Colorado
Columbus Blue Jackets,CBJ,METROPOLITAN,EASTERN,Columbus; Ohio
Dallas Stars,DAL,CENTRAL,WESTERN,Dallas; Texas
Detroit Red Wings,DET,ATLANTIC,EASTERN,Detroit; Michigan
Edmonton Oilers,EDM,PACIFIC,WESTERN,Edmonton; Alberta
Florida Panthers,FLA,ATLANTIC,EASTERN,Sunrise; Florida
Los Angeles Kings,LAK,PACIFIC,WESTERN,Los Angeles; California
Minnesota Wild,MIN,CENTRAL,WESTERN,Saint Paul; Minnesota
Montreal Canadiens,MTL,ATLANTIC,EASTERN,Montreal; Quebec
Nashville Predators,NSH,CENTRAL,WESTERN,Nashville; Tennessee
New Jersey Devils,NJD,METROPOLITAN,EASTERN,Newark; New Jersey
New York Islanders,NYI,METROPOLITAN,EASTERN,New York; New York
New York Rangers,NYR,METROPOLITAN,EASTERN,Uniondale; New York
Ottawa Senators,OTT,ATLANTIC,EASTERN,Ottawa; Ontario
Philadelphia Flyers,PHI,METROPOLITAN,EASTERN,Philadelphia; Pennsylvania
Phoenix Coyotes,PHO,PACIFIC,WESTERN,Phoenix; Arizona
Pittsburgh Penguins,PIT,METROPOLITAN,EASTERN,Pittsburgh; Pennsylvania
San Jose Sharks,SJS,PACIFIC,WESTERN,San Jose; California
St. Louis Blues,STL,CENTRAL,WESTERN,St. Louis; Missouri
Tampa Bay Lightning,TBL,ATLANTIC,EASTERN,Tampa; Florida
Toronto Maple Leafs,TOR,ATLANTIC,EASTERN,Toronto; Ontario
Vancouver Canucks,VAN,PACIFIC,WESTERN,Vancouver; British Columbia
Vegas Golden Knights,VGK,PACIFIC,WESTERN,Paradise; Nevada
Washington Capitals,WSH,METROPOLITAN,EASTERN,Washington; D.C.
Winnipeg Jets,WPG,CENTRAL,WESTERN,Winnipeg; Manitoba
